ID,CODE_GENDER,FLAG_OWN_CAR,FLAG_OWN_REALTY,CNT_CHILDREN,AMT_INCOME_TOTAL,NAME_INCOME_TYPE,NAME_EDUCATION_TYPE,NAME_FAMILY_STATUS,NAME_HOUSING_TYPE,FLAG_WORK_PHONE,FLAG_PHONE,FLAG_EMAIL,OCCUPATION_TYPE,CNT_FAM_MEMBERS,AGE_YEARS,IS_PENSIONER,EMPLOYMENT_YEARS,INCOME_PER_FAMILY_MEMBER,INCOME_BAND,TARGET
5003604,M,Y,Y,0,35710.36,Working,Secondary / secondary special,Civil marriage,House / apartment,0,0,0,Cleaning staff,2,20.0,0,4.9,17855.18,Low,0
5003605,M,N,N,3,34965.14,Working,Lower secondary,Single / not married,House / apartment,0,1,0,Medicine staff,4,33.3,0,4.7,8741.28,Low,0
5003606,F,N,Y,1,202233.5,Working,Secondary / secondary special,Married,House / apartment,0,1,0,Sales staff,3,27.5,0,14.0,67411.17,High,1
5003607,M,N,Y,1,70219.23,Working,Secondary / secondary special,Married,With parents,0,1,0,Drivers,3,53.9,0,2.2,23406.41,Low,0
5003608,F,N,Y,1,56463.37,Commercial associate,Lower secondary,Single / not married,House / apartment,0,1,0,Private service staff,2,45.0,0,1.0,28231.68,Low,1
5003609,F,N,Y,0,165113.97,Working,Secondary / secondary special,Widow,House / apartment,0,1,0,Accountants,2,35.0,0,4.5,82556.98,Medium,1
5003610,F,Y,Y,0,82920.55,Working,Higher education,Married,House / apartment,0,1,0,Sales staff,2,39.6,0,0.1,41460.28,Low,0
5003611,M,N,Y,0,62086.68,Pensioner,Higher education,Married,House / apartment,0,0,0,Core staff,2,51.9,1,0.0,31043.34,Low,0
5003612,M,N,N,0,124297.93,Pensioner,Secondary / secondary special,Civil marriage,House / apartment,1,1,0,Accountants,2,34.0,1,0.0,62148.96,Medium,1
5003613,F,Y,Y,2,98602.72,Commercial associate,Secondary / secondary special,Married,House / apartment,1,1,0,Core staff,4,21.3,0,21.2,24650.68,Low,1
5003614,M,N,Y,0,98738.36,Commercial associate,Secondary / secondary special,Married,House / apartment,0,0,0,Medicine staff,2,31.7,0,3.8,49369.18,Low,0
5003615,M,N,Y,0,63888.27,Commercial associate,Secondary / secondary special,Single / not married,Co-op apartment,1,0,0,Cooking staff,1,35.5,0,5.9,63888.27,Low,0
5003616,F,Y,Y,0,46738.74,Working,Incomplete higher,Married,Municipal apartment,1,0,0,Security staff,2,27.0,0,8.6,23369.37,Low,0
5003617,F,N,Y,0,44124.28,Working,Higher education,Married,House / apartment,0,0,1,Cleaning staff,2,46.5,0,7.1,22062.14,Low,1
5003618,F,N,Y,0,76991.84,State servant,Secondary / secondary special,Married,House / apartment,1,0,0,Cooking staff,2,70.0,0,15.1,38495.92,Low,0
5003619,M,N,Y,0,73406.18,Pensioner,Secondary / secondary special,Married,Rented apartment,0,0,0,Accountants,2,46.0,1,0.0,36703.09,Low,1
5003620,F,N,Y,0,93097.65,Pensioner,Secondary / secondary special,Married,Municipal apartment,1,0,1,Cooking staff,2,50.5,1,0.0,46548.82,Low,0
5003621,M,N,Y,0,59135.7,State servant,Secondary / secondary special,Single / not married,House / apartment,1,0,1,Drivers,1,40.7,0,0.4,59135.7,Low,0
5003622,M,Y,N,0,138711.76,Pensioner,Higher education,Single / not married,House / apartment,0,1,0,Drivers,1,36.9,1,0.0,138711.76,Medium,1
5003623,F,Y,Y,0,37692.95,Pensioner,Secondary / secondary special,Civil marriage,With parents,1,0,0,Cooking staff,2,52.4,1,0.0,18846.47,Low,0
5003624,M,Y,N,0,90131.45,Pensioner,Secondary / secondary special,Married,House / apartment,0,0,0,Private service staff,2,45.5,1,0.0,45065.72,Low,1
5003625,M,N,Y,0,46409.5,Working,Secondary / secondary special,Married,House / apartment,1,1,1,Cleaning staff,2,29.2,0,7.5,23204.75,Low,0
5003626,M,N,N,0,64758.14,Pensioner,Secondary / secondary special,Married,With parents,0,0,0,Core staff,2,49.8,1,0.0,32379.07,Low,1
5003627,F,N,Y,2,46149.06,Commercial associate,Higher education,Married,House / apartment,0,1,0,Drivers,4,44.8,0,0.5,11537.26,Low,0
5003628,F,N,Y,0,60850.85,Commercial associate,Secondary / secondary special,Single / not married,House / apartment,0,0,0,Security staff,1,56.7,0,4.0,60850.85,Low,1
5003629,F,N,N,3,42824.03,Working,Secondary / secondary special,Separated,House / apartment,0,0,0,Medicine staff,5,44.0,0,9.2,8564.81,Low,1
5003630,F,N,N,0,44337.39,Pensioner,Secondary / secondary special,Separated,House / apartment,0,1,0,Sales staff,2,36.2,1,0.0,22168.7,Low,0
5003631,M,Y,N,0,118406.89,Working,Secondary / secondary special,Married,Co-op apartment,0,0,0,Core staff,2,39.5,0,2.9,59203.44,Medium,0
5003632,F,N,Y,0,36507.93,Working,Secondary / secondary special,Married,Municipal apartment,0,1,1,High skill tech staff,2,42.7,0,5.8,18253.96,Low,1
5003633,M,N,Y,0,101212.64,Pensioner,Secondary / secondary special,Civil marriage,House / apartment,1,1,1,Private service staff,2,34.7,1,0.0,50606.32,Medium,1
5003634,M,N,Y,1,111962.05,Working,Secondary / secondary special,Single / not married,House / apartment,1,0,0,Medicine staff,2,28.9,0,6.1,55981.02,Medium,1
5003635,F,Y,N,0,105367.25,Working,Higher education,Married,Office apartment,1,1,0,Security staff,2,27.8,0,3.9,52683.62,Medium,1
5003636,F,N,N,2,72163.18,Working,Secondary / secondary special,Married,With parents,0,0,0,Accountants,4,28.6,0,2.7,18040.79,Low,0
5003637,M,N,Y,1,42359.92,Pensioner,Secondary / secondary special,Married,House / apartment,0,0,0,Drivers,3,43.8,1,0.0,14119.97,Low,0
5003638,M,Y,N,0,33772.12,Working,Incomplete higher,Married,Municipal apartment,1,0,0,Cooking staff,2,44.8,0,2.3,16886.06,Low,0
5003639,M,Y,Y,1,40536.68,Working,Secondary / secondary special,Separated,House / apartment,0,1,1,Cleaning staff,3,46.7,0,7.3,13512.23,Low,0
5003640,M,Y,Y,1,40663.64,Working,Incomplete higher,Single / not married,House / apartment,0,1,0,High skill tech staff,2,41.4,0,7.2,20331.82,Low,1
5003641,F,N,Y,0,83910.03,Commercial associate,Higher education,Married,House / apartment,1,1,1,Core staff,2,45.5,0,4.5,41955.02,Low,0
5003642,F,Y,Y,0,36034.56,Pensioner,Secondary / secondary special,Married,House / apartment,0,0,0,Medicine staff,2,44.0,1,0.0,18017.28,Low,1
5003643,F,N,Y,0,65948.92,Pensioner,Secondary / secondary special,Married,With parents,0,0,0,Managers,2,52.0,1,0.0,32974.46,Low,0
5003644,F,N,Y,0,74614.11,Pensioner,Secondary / secondary special,Separated,House / apartment,0,1,0,Laborers,2,41.8,1,0.0,37307.06,Low,1
5003645,M,N,Y,0,62847.59,Working,Secondary / secondary special,Married,Rented apartment,1,0,0,Core staff,2,46.9,0,4.8,31423.8,Low,0
5003646,F,N,Y,1,63878.07,State servant,Secondary / secondary special,Married,With parents,0,0,0,Managers,3,62.5,0,1.6,21292.69,Low,0
5003647,M,Y,N,0,138438.92,Pensioner,Secondary / secondary special,Civil marriage,House / apartment,1,0,0,Cleaning staff,2,41.5,1,0.0,69219.46,Medium,1
5003648,F,N,Y,0,93887.81,Pensioner,Incomplete higher,Single / not married,Municipal apartment,0,0,0,Managers,1,60.1,1,0.0,93887.81,Low,1
5003649,F,Y,Y,0,103935.05,Pensioner,Secondary / secondary special,Married,House / apartment,0,0,0,Laborers,2,51.2,1,0.0,51967.52,Medium,1
5003650,F,N,Y,0,60730.06,State servant,Secondary / secondary special,Married,House / apartment,0,1,0,Private service staff,2,56.2,0,6.2,30365.03,Low,1
5003651,M,Y,N,0,108257.0,Working,Incomplete higher,Single / not married,House / apartment,1,0,0,Sales staff,1,51.2,0,0.7,108257.0,Medium,0
5003652,F,N,Y,0,85122.89,State servant,Secondary / secondary special,Separated,House / apartment,0,0,1,Drivers,2,26.1,0,1.7,42561.44,Low,1
5003653,M,N,N,0,81233.93,Working,Secondary / secondary special,Single / not married,House / apartment,1,0,1,Core staff,1,37.4,0,3.1,81233.93,Low,1
5003654,M,N,Y,0,60133.21,Pensioner,Higher education,Civil marriage,Municipal apartment,1,1,0,Accountants,2,32.2,1,0.0,30066.6,Low,1
5003655,M,N,Y,0,82322.36,Working,Secondary / secondary special,Single / not married,Municipal apartment,0,1,0,Core staff,1,41.2,0,3.0,82322.36,Low,0
5003656,M,Y,Y,0,209851.21,Commercial associate,Higher education,Widow,Municipal apartment,1,0,0,Laborers,2,26.2,0,14.0,104925.6,High,0
5003657,F,Y,Y,0,98891.96,Commercial associate,Secondary / secondary special,Widow,House / apartment,1,0,1,Security staff,2,64.0,0,3.7,49445.98,Low,1
5003658,F,N,Y,0,171880.69,State servant,Lower secondary,Civil marriage,House / apartment,0,0,0,Cooking staff,2,55.4,0,0.6,85940.34,Medium,0
5003659,F,N,Y,0,28467.75,Working,Secondary / secondary special,Single / not married,House / apartment,0,0,0,Accountants,1,20.0,0,2.2,28467.75,Low,1
5003660,F,N,Y,0,75822.51,Working,Secondary / secondary special,Married,House / apartment,1,1,0,Drivers,2,42.4,0,3.5,37911.25,Low,0
5003661,F,Y,Y,2,110247.84,Working,Secondary / secondary special,Civil marriage,House / apartment,0,0,0,Medicine staff,4,56.2,0,2.6,27561.96,Medium,0
5003662,M,N,N,1,88728.8,Commercial associate,Secondary / secondary special,Single / not married,House / apartment,0,0,0,Security staff,2,64.1,0,1.6,44364.4,Low,0
5003663,M,N,N,0,94609.2,Working,Secondary / secondary special,Civil marriage,Municipal apartment,0,0,0,Security staff,2,32.1,0,3.3,47304.6,Low,1
5003664,F,N,Y,0,60211.99,Working,Secondary / secondary special,Widow,Co-op apartment,0,1,0,Accountants,2,38.5,0,13.3,30106.0,Low,1
5003665,M,N,Y,0,134007.32,Working,Incomplete higher,Widow,House / apartment,0,0,1,Core staff,2,51.3,0,3.2,67003.66,Medium,0
5003666,F,N,Y,0,32846.94,Pensioner,Secondary / secondary special,Married,House / apartment,1,0,0,Drivers,2,42.7,1,0.0,16423.47,Low,1
5003667,M,Y,Y,0,67860.08,Working,Secondary / secondary special,Married,House / apartment,0,0,0,Security staff,2,38.4,0,3.3,33930.04,Low,0
5003668,M,Y,N,0,77815.77,Commercial associate,Secondary / secondary special,Single / not married,Office apartment,1,0,1,Accountants,1,43.8,0,6.7,77815.77,Low,0
5003669,M,N,N,0,54917.93,Commercial associate,Secondary / secondary special,Separated,Rented apartment,0,0,0,Core staff,2,35.9,0,0.1,27458.96,Low,1
5003670,M,N,Y,2,74159.14,Commercial associate,Higher education,Married,House / apartment,0,1,0,Cooking staff,4,23.4,0,3.1,18539.78,Low,0
5003671,M,N,Y,3,27381.57,Working,Higher education,Married,House / apartment,0,0,0,Medicine staff,5,50.4,0,3.5,5476.31,Low,0
5003672,F,N,Y,1,38246.32,Working,Secondary / secondary special,Civil marriage,House / apartment,0,0,0,Private service staff,3,40.3,0,7.3,12748.77,Low,0
5003673,M,N,N,2,138015.27,Working,Higher education,Married,House / apartment,1,0,0,Medicine staff,4,36.1,0,19.1,34503.82,Medium,1
5003674,F,N,Y,0,82595.11,Commercial associate,Incomplete higher,Married,House / apartment,0,0,1,Accountants,2,40.5,0,2.1,41297.56,Low,0
5003675,M,N,N,1,60512.17,Working,Secondary / secondary special,Married,House / apartment,1,1,0,Cooking staff,3,33.9,0,0.5,20170.72,Low,0
5003676,M,Y,N,0,119357.53,Working,Secondary / secondary special,Married,House / apartment,0,0,0,Core staff,2,32.4,0,9.6,59678.76,Medium,1
5003677,M,N,N,3,146326.01,Pensioner,Secondary / secondary special,Married,House / apartment,0,0,0,Private service staff,5,20.0,1,0.0,29265.2,Medium,0
5003678,F,N,Y,1,180748.95,Working,Academic degree,Single / not married,With parents,0,0,1,Laborers,2,40.2,0,2.4,90374.48,Medium,1
5003679,M,Y,Y,0,28467.57,Commercial associate,Secondary / secondary special,Married,Rented apartment,1,1,0,Sales staff,2,33.7,0,3.3,14233.78,Low,0
5003680,F,N,Y,2,146010.63,Working,Secondary / secondary special,Married,House / apartment,0,0,0,Sales staff,4,32.8,0,7.1,36502.66,Medium,0
5003681,M,N,N,0,40925.85,Pensioner,Secondary / secondary special,Married,House / apartment,0,0,0,Medicine staff,2,54.4,1,0.0,20462.92,Low,0
5003682,F,N,Y,0,85035.79,Pensioner,Lower secondary,Single / not married,House / apartment,0,0,0,Cleaning staff,1,24.3,1,0.0,85035.79,Low,1
5003683,M,Y,N,2,99276.5,Working,Higher education,Single / not married,With parents,0,1,1,Laborers,3,42.4,0,4.1,33092.17,Low,1
5003684,F,Y,N,0,163478.88,Working,Secondary / secondary special,Married,House / apartment,0,0,0,Cooking staff,2,41.9,0,5.5,81739.44,Medium,1
5003685,F,Y,N,1,92470.42,Commercial associate,Higher education,Civil marriage,House / apartment,0,0,0,Laborers,3,43.7,0,4.9,30823.47,Low,0
5003686,F,Y,Y,0,84077.52,Working,Secondary / secondary special,Separated,House / apartment,0,1,1,Managers,2,70.0,0,1.0,42038.76,Low,0
5003687,M,N,Y,0,48103.13,Pensioner,Secondary / secondary special,Widow,House / apartment,0,0,1,Cooking staff,2,20.0,1,0.0,24051.56,Low,0
5003688,M,Y,Y,1,31450.56,Working,Secondary / secondary special,Married,House / apartment,1,1,0,Drivers,3,45.8,0,23.0,10483.52,Low,0
5003689,M,N,Y,3,47479.62,Pensioner,Secondary / secondary special,Single / not married,House / apartment,0,0,0,Medicine staff,4,43.5,1,0.0,11869.9,Low,0
5003690,F,Y,N,0,147753.45,Working,Higher education,Married,House / apartment,0,0,0,Sales staff,2,48.9,0,8.0,73876.73,Medium,0
5003691,F,Y,N,0,74340.11,Working,Secondary / secondary special,Married,House / apartment,0,1,1,Accountants,2,34.3,0,10.8,37170.06,Low,1
5003692,F,N,Y,0,167816.26,State servant,Higher education,Civil marriage,With parents,0,1,0,High skill tech staff,2,53.2,0,1.8,83908.13,Medium,1
5003693,M,N,Y,1,51087.04,Commercial associate,Secondary / secondary special,Single / not married,Rented apartment,0,1,1,Private service staff,2,39.7,0,1.5,25543.52,Low,0
5003694,M,N,Y,0,108302.94,Commercial associate,Secondary / secondary special,Married,House / apartment,1,0,0,Cooking staff,2,47.2,0,2.4,54151.47,Medium,1
5003695,M,N,Y,2,79529.4,Working,Incomplete higher,Civil marriage,House / apartment,0,0,0,Cleaning staff,4,54.8,0,22.2,19882.35,Low,1
5003696,F,N,Y,2,139752.59,Working,Secondary / secondary special,Civil marriage,With parents,0,0,0,Cooking staff,4,34.4,0,3.5,34938.15,Medium,1
5003697,F,N,Y,0,65404.17,Working,Higher education,Separated,Co-op apartment,0,0,0,Core staff,2,47.6,0,9.4,32702.08,Low,1
5003698,F,N,N,0,68613.81,Working,Secondary / secondary special,Married,House / apartment,1,0,0,Managers,2,40.9,0,1.2,34306.9,Low,0
5003699,M,Y,N,0,134397.77,Working,Higher education,Married,House / apartment,0,0,0,Medicine staff,2,48.5,0,0.5,67198.88,Medium,0
5003700,F,N,Y,0,27000.0,Working,Secondary / secondary special,Widow,With parents,0,1,0,Cooking staff,2,37.8,0,3.0,13500.0,Low,0
5003701,F,Y,N,3,68079.57,Pensioner,Secondary / secondary special,Married,With parents,0,0,0,High skill tech staff,5,42.2,1,0.0,13615.91,Low,0
5003702,M,N,Y,1,31871.34,Working,Higher education,Single / not married,House / apartment,0,1,1,Cooking staff,2,51.1,0,7.4,15935.67,Low,0
5003703,F,Y,N,0,72061.08,Pensioner,Secondary / secondary special,Separated,House / apartment,0,1,1,Private service staff,2,20.8,1,0.0,36030.54,Low,0
5003704,F,N,Y,1,59266.59,Working,Higher education,Married,House / apartment,0,0,1,Laborers,3,63.9,0,1.0,19755.53,Low,1
5003705,F,N,Y,0,98826.86,Working,Secondary / secondary special,Married,House / apartment,0,0,1,Medicine staff,2,38.3,0,10.0,49413.43,Low,0
5003706,F,Y,Y,0,92328.66,Commercial associate,Lower secondary,Married,House / apartment,1,0,0,Cooking staff,2,54.5,0,8.6,46164.33,Low,0
5003707,M,N,Y,0,63398.73,Pensioner,Secondary / secondary special,Married,House / apartment,0,0,1,Private service staff,2,52.6,1,0.0,31699.36,Low,0
5003708,M,Y,N,4,45212.75,Pensioner,Secondary / secondary special,Married,With parents,0,0,0,Medicine staff,6,42.4,1,0.0,7535.46,Low,1
5003709,F,Y,N,2,76051.42,Working,Secondary / secondary special,Widow,House / apartment,1,0,0,Medicine staff,4,33.4,0,2.2,19012.86,Low,0
5003710,M,N,N,1,140438.1,Commercial associate,Secondary / secondary special,Married,With parents,1,0,0,Core staff,3,44.3,0,21.7,46812.7,Medium,1
5003711,F,N,N,0,44795.41,Working,Secondary / secondary special,Single / not married,Municipal apartment,0,1,0,Sales staff,1,65.4,0,4.6,44795.41,Low,0
5003712,F,N,Y,1,34488.22,Working,Secondary / secondary special,Married,House / apartment,0,0,0,Drivers,3,20.0,0,12.6,11496.07,Low,1
5003713,F,N,Y,0,29097.56,Working,Secondary / secondary special,Married,Municipal apartment,0,0,0,Private service staff,2,54.1,0,6.2,14548.78,Low,1
5003714,F,N,N,1,33951.17,Working,Secondary / secondary special,Married,With parents,0,0,0,Core staff,3,36.4,0,2.2,11317.06,Low,1
5003715,M,N,Y,0,72865.64,Working,Incomplete higher,Married,House / apartment,0,1,0,Private service staff,2,20.0,0,2.4,36432.82,Low,1
5003716,M,N,Y,0,36217.47,State servant,Secondary / secondary special,Married,House / apartment,1,1,1,Laborers,2,21.8,0,5.9,18108.74,Low,0
5003717,M,Y,N,0,60628.61,Pensioner,Higher education,Single / not married,Rented apartment,1,0,1,Security staff,1,31.0,1,0.0,60628.61,Low,1
5003718,M,Y,Y,1,92117.29,Working,Secondary / secondary special,Married,House / apartment,0,0,0,Security staff,3,29.1,0,1.9,30705.76,Low,1
5003719,M,Y,Y,1,27000.0,Working,Secondary / secondary special,Married,House / apartment,0,0,0,Sales staff,3,39.8,0,4.9,9000.0,Low,1
5003720,M,N,Y,0,119779.92,Pensioner,Higher education,Civil marriage,House / apartment,0,0,0,Cooking staff,2,43.7,1,0.0,59889.96,Medium,1
5003721,F,Y,Y,2,149301.67,Working,Secondary / secondary special,Married,Rented apartment,0,0,0,Core staff,4,50.2,0,8.3,37325.42,Medium,0
5003722,F,Y,N,2,185775.3,Pensioner,Secondary / secondary special,Single / not married,House / apartment,0,1,0,Accountants,3,52.0,1,0.0,61925.1,Medium,1
5003723,M,N,N,1,152821.83,Working,Secondary / secondary special,Married,House / apartment,1,0,0,Sales staff,3,36.0,0,4.3,50940.61,Medium,0
5003724,M,Y,Y,1,244348.62,Working,Lower secondary,Widow,Municipal apartment,0,1,0,Accountants,3,59.2,0,4.3,81449.54,High,1
5003725,F,N,N,0,82045.31,Working,Higher education,Married,House / apartment,0,0,0,Laborers,2,50.5,0,4.8,41022.66,Low,1
5003726,M,Y,N,3,109425.79,Commercial associate,Secondary / secondary special,Single / not married,Municipal apartment,0,1,0,High skill tech staff,4,61.4,0,3.9,27356.45,Medium,0
5003727,M,Y,Y,0,64499.4,Working,Incomplete higher,Married,House / apartment,0,0,1,Managers,2,48.9,0,2.7,32249.7,Low,1
5003728,M,Y,N,0,101864.07,Working,Higher education,Married,House / apartment,0,0,0,Core staff,2,34.7,0,2.5,50932.04,Medium,0
5003729,F,N,Y,1,78334.22,Working,Secondary / secondary special,Married,House / apartment,0,0,0,Cleaning staff,3,34.3,0,0.3,26111.41,Low,0
5003730,M,N,N,0,31840.75,Working,Secondary / secondary special,Married,House / apartment,1,0,0,Core staff,2,27.8,0,6.6,15920.38,Low,1
5003731,F,Y,N,3,34470.49,Commercial associate,Incomplete higher,Widow,With parents,0,0,0,Accountants,5,32.5,0,12.1,6894.1,Low,1
5003732,M,Y,Y,0,180682.28,Working,Secondary / secondary special,Married,House / apartment,1,1,0,Managers,2,41.5,0,8.8,90341.14,Medium,0
5003733,F,N,N,0,79029.13,Pensioner,Secondary / secondary special,Married,House / apartment,0,1,1,Private service staff,2,34.3,1,0.0,39514.56,Low,1
5003734,M,N,N,3,148771.0,Working,Secondary / secondary special,Married,House / apartment,0,0,0,Core staff,5,38.8,0,8.8,29754.2,Medium,1
5003735,F,N,Y,0,55083.83,Pensioner,Secondary / secondary special,Married,House / apartment,0,0,0,Cleaning staff,2,47.7,1,0.0,27541.92,Low,1
5003736,F,N,Y,0,46806.11,Working,Secondary / secondary special,Married,House / apartment,0,0,0,Private service staff,2,38.0,0,3.6,23403.06,Low,1
5003737,F,N,Y,0,70058.87,Working,Secondary / secondary special,Married,House / apartment,1,0,0,Sales staff,2,70.0,0,7.1,35029.44,Low,1
5003738,F,N,Y,2,108292.48,Working,Secondary / secondary special,Widow,Municipal apartment,0,1,0,Drivers,4,38.5,0,0.4,27073.12,Medium,1
5003739,F,N,Y,0,146684.96,Working,Secondary / secondary special,Widow,Rented apartment,0,1,0,Accountants,2,68.4,0,5.0,73342.48,Medium,0
5003740,F,N,Y,0,80266.9,Pensioner,Secondary / secondary special,Married,Municipal apartment,0,1,0,Laborers,2,33.9,1,0.0,40133.45,Low,0
5003741,F,Y,Y,0,101399.87,Commercial associate,Higher education,Married,House / apartment,0,0,0,Accountants,2,33.8,0,10.8,50699.94,Medium,0
5003742,F,Y,Y,3,68062.04,Working,Higher education,Single / not married,House / apartment,0,0,0,Laborers,4,63.0,0,14.7,17015.51,Low,0
5003743,M,Y,N,0,151434.98,State servant,Secondary / secondary special,Married,House / apartment,0,0,0,Accountants,2,53.1,0,17.0,75717.49,Medium,1
5003744,M,Y,N,0,152590.69,Working,Secondary / secondary special,Single / not married,With parents,1,0,0,Drivers,1,40.5,0,0.7,152590.69,Medium,0
5003745,M,Y,N,1,49383.72,Working,Secondary / secondary special,Married,House / apartment,0,1,0,Sales staff,3,32.2,0,1.1,16461.24,Low,0
5003746,F,Y,Y,2,88569.06,State servant,Higher education,Married,House / apartment,1,0,0,Cooking staff,4,53.4,0,3.0,22142.26,Low,1
5003747,M,N,N,0,44454.07,Working,Secondary / secondary special,Married,House / apartment,0,0,0,Cooking staff,2,43.6,0,27.4,22227.04,Low,0
5003748,M,N,N,2,109988.91,Working,Lower secondary,Single / not married,House / apartment,0,0,0,Security staff,3,58.1,0,1.4,36662.97,Medium,0
5003749,F,N,N,0,60043.23,Pensioner,Higher education,Civil marriage,House / apartment,0,1,0,Sales staff,2,30.7,1,0.0,30021.62,Low,1
5003750,F,N,N,0,49087.55,Commercial associate,Secondary / secondary special,Married,With parents,0,0,0,Laborers,2,39.4,0,3.5,24543.78,Low,0
5003751,F,Y,N,0,27000.0,Working,Secondary / secondary special,Widow,Municipal apartment,0,1,1,Cooking staff,2,49.2,0,0.5,13500.0,Low,0
5003752,M,N,Y,0,125680.75,Commercial associate,Secondary / secondary special,Widow,Municipal apartment,1,1,0,Core staff,2,47.2,0,16.5,62840.38,Medium,1
5003753,F,N,Y,0,80531.59,Student,Secondary / secondary special,Married,House / apartment,1,1,0,Medicine staff,2,33.3,0,10.2,40265.8,Low,1
5003754,M,Y,Y,0,82912.18,Working,Secondary / secondary special,Married,Rented apartment,0,0,1,Core staff,2,45.7,0,1.3,41456.09,Low,0
5003755,M,Y,Y,0,110846.84,Working,Secondary / secondary special,Civil marriage,Municipal apartment,0,0,0,Private service staff,2,42.7,0,2.4,55423.42,Medium,1
5003756,M,Y,N,1,49965.3,Commercial associate,Secondary / secondary special,Married,House / apartment,1,1,0,Laborers,3,29.5,0,5.5,16655.1,Low,1
5003757,M,Y,Y,1,46207.49,Commercial associate,Secondary / secondary special,Civil marriage,House / apartment,1,0,0,Medicine staff,3,57.2,0,4.0,15402.5,Low,1
5003758,M,Y,N,0,96245.2,Working,Secondary / secondary special,Civil marriage,Municipal apartment,0,0,0,Core staff,2,20.0,0,0.9,48122.6,Low,1
5003759,F,Y,N,0,130490.8,Working,Secondary / secondary special,Married,Rented apartment,0,0,1,Accountants,2,35.8,0,4.1,65245.4,Medium,1
5003760,M,Y,Y,0,95421.27,Pensioner,Secondary / secondary special,Married,House / apartment,0,0,0,Medicine staff,2,51.8,1,0.0,47710.64,Low,0
5003761,F,Y,Y,3,162980.57,Commercial associate,Incomplete higher,Married,House / apartment,1,0,0,Cleaning staff,5,49.9,0,5.5,32596.11,Medium,1
5003762,F,N,Y,1,96973.84,Working,Secondary / secondary special,Single / not married,House / apartment,0,1,0,Managers,2,39.7,0,1.2,48486.92,Low,0
5003763,M,Y,N,1,94365.12,Working,Incomplete higher,Single / not married,House / apartment,1,1,0,Sales staff,2,25.6,0,7.9,47182.56,Low,0
5003764,F,Y,N,0,110316.89,Pensioner,Secondary / secondary special,Single / not married,House / apartment,0,1,1,High skill tech staff,1,31.3,1,0.0,110316.89,Medium,0
5003765,M,N,N,0,65123.02,Commercial associate,Higher education,Single / not married,Municipal apartment,0,0,0,Cooking staff,1,30.0,0,17.1,65123.02,Low,1
5003766,F,N,Y,0,39291.27,Pensioner,Secondary / secondary special,Married,House / apartment,0,0,0,Laborers,2,21.7,1,0.0,19645.63,Low,0
5003767,M,Y,Y,0,73828.87,Working,Secondary / secondary special,Single / not married,House / apartment,0,0,0,Cooking staff,1,59.6,0,21.5,73828.87,Low,1
5003768,M,N,Y,1,104498.13,Working,Secondary / secondary special,Married,With parents,0,1,0,Laborers,3,64.4,0,5.3,34832.71,Medium,1
5003769,M,Y,Y,2,47584.5,Working,Higher education,Married,House / apartment,1,0,0,Cooking staff,4,33.9,0,5.6,11896.12,Low,0
5003770,F,Y,N,1,36205.55,Commercial associate,Higher education,Single / not married,House / apartment,1,0,0,Accountants,2,20.8,0,10.6,18102.78,Low,1
5003771,F,Y,Y,3,50868.77,Working,Secondary / secondary special,Married,House / apartment,0,0,0,Private service staff,5,43.8,0,6.0,10173.75,Low,0
5003772,M,N,Y,0,142582.37,Working,Secondary / secondary special,Single / not married,House / apartment,0,0,0,Managers,1,42.5,0,6.9,142582.37,Medium,1
5003773,F,Y,Y,2,93697.35,Commercial associate,Secondary / secondary special,Married,House / apartment,0,0,0,High skill tech staff,4,52.4,0,3.7,23424.34,Low,0
5003774,F,N,Y,1,68665.96,Pensioner,Lower secondary,Single / not married,House / apartment,0,0,0,Managers,2,44.7,1,0.0,34332.98,Low,0
5003775,F,Y,N,0,45078.12,State servant,Secondary / secondary special,Civil marriage,House / apartment,1,0,0,Core staff,2,43.5,0,0.1,22539.06,Low,1
5003776,F,N,Y,1,83922.61,Working,Secondary / secondary special,Widow,House / apartment,0,0,1,Cooking staff,3,30.2,0,1.1,27974.2,Low,0
5003777,F,Y,Y,0,80224.17,Pensioner,Higher education,Married,Rented apartment,0,1,0,Cooking staff,2,40.1,1,0.0,40112.08,Low,1
5003778,F,N,N,0,91869.82,State servant,Incomplete higher,Civil marriage,Rented apartment,0,0,0,Cleaning staff,2,53.6,0,4.0,45934.91,Low,1
5003779,F,N,Y,0,255781.87,Working,Higher education,Married,Rented apartment,0,0,1,Security staff,2,60.7,0,7.6,127890.94,High,1
5003780,M,N,N,0,93613.99,State servant,Lower secondary,Married,Rented apartment,0,0,0,Security staff,2,43.8,0,2.7,46807.0,Low,1
5003781,M,Y,N,0,51687.07,State servant,Secondary / secondary special,Single / not married,House / apartment,0,1,0,Cleaning staff,1,46.7,0,3.5,51687.07,Low,1
5003782,M,N,N,0,36587.45,Working,Higher education,Married,House / apartment,0,1,0,Managers,2,39.5,0,1.1,18293.72,Low,0
5003783,F,N,Y,2,55283.71,Working,Higher education,Married,Rented apartment,0,1,0,Laborers,4,47.5,0,6.7,13820.93,Low,1
5003784,F,Y,N,1,58194.48,Working,Secondary / secondary special,Married,House / apartment,0,1,0,Cooking staff,3,24.6,0,6.5,19398.16,Low,0
